sub_key,cell_type,cell_subtype,confidence,evidence
2_0,T_cells,Innate_like_T,moderate,CD3D CD3E TRAC with KLRB1 CCR6 ZBTB16; no definitive NKT identity
2_1,T_cells,T_cells,moderate,T lineage markers; sex chromosome markers do not define cell type
2_2,T_cells,Cytotoxic_T,high,CD3D CD3E TRAC CD8A CD8B GZMH
2_3,T_cells,GZMK_T,high,CD3D CD3E TRAC CD8A CD8B GZMK
2_4,NK_cells,NK_like,moderate,GNLY KLRF1 FCGR3A TYROBP FGFBP2; 15.5 percent co-detect at least two T markers so residual mixture possible
2_5,T_cells,NK_receptor_T,moderate,86.3 percent co-detect at least two T markers; KIR2DL4 KLRC2 do not alone establish NK identity
2_6,T_cells,T_with_ambient_RNA_flag,moderate,94.7 percent co-detect at least two T markers; only 1.3 percent co-detect two epithelial markers despite TFF2; retain with ambient RNA flag
2_7,T_cells,T_cells,moderate,CD3D CD3E TRAC with NCAM1; no definitive NKT identity
2_8,T_cells,Activated_T_like,moderate,CD3D CD3E TRAC CXCL13 CTLA4; exhaustion not established
10_0,T_cells,Cycling_T,high,CD3D CD3E TRAC CD8A with MKI67 TOP2A
10_1,B_cells,Cycling_B,high,MS4A1 CD79A CD79B with MKI67 TOP2A
10_2,B_cells,B_cells,high,MS4A1 CD79A CD79B FCER2 FCRL5
10_3,B_cells,Cycling_B_like,moderate,B markers exceed T and myeloid programs; lower detection and strong cycling state
10_4,Macrophages,Cycling_macrophage,high,LYZ C1QA TYROBP detected in over 80 percent; MSR1 STAB1 with MKI67 TOP2A
